"Years","Community District of Residence","LeadingCause","PrematureDeaths","PrematureDeathRate","Age-adjusted Death Rate per 100000 population"
"2014-2016","Throgs Neck (210)","Chronic Liver Disease and Cirrhosis (K70, K73)",13,4.3,3.4
"2014-2016","Throgs Neck (210)","All Other Causes",137,45.2,38.9
"2014-2016","Pelham Parkway (211)","Malignant Neoplasms (Cancer: C00-C97)",192,63.7,58.0
"2014-2016","Pelham Parkway (211)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",137,45.5,41.4
"2014-2016","Pelham Parkway (211)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",54,17.9,16.9
"2014-2016","Pelham Parkway (211)","Influenza (Flu) and Pneumonia (J09-J18)",23,7.6,7.0
"2014-2016","Pelham Parkway (211)","Diabetes Mellitus (E10-E14)",20,6.6,6.1
"2014-2016","Pelham Parkway (211)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",19,6.3,6.0
"2014-2016","Pelham Parkway (211)","Cerebrovascular Disease (Stroke: I60-I69)",19,6.3,5.9
"2014-2016","Pelham Parkway (211)","Certain Conditions originating in the Perinatal Period (P00-P96)",17,5.6,6.1
"2014-2016","Pelham Parkway (211)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",16,5.3,5.0
"2014-2016","Pelham Parkway (211)","Assault (Homicide: Y87.1, X85-Y09)",15,5.0,4.9
"2014-2016","Pelham Parkway (211)","Essential Hypertension and Renal Diseases (I10, I12)",15,5.0,4.5
"2014-2016","Pelham Parkway (211)","All Other Causes",155,51.5,48.6
"2014-2016","Williamsbridge (212)","Malignant Neoplasms (Cancer: C00-C97)",229,56.0,49.8
"2014-2016","Williamsbridge (212)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",189,46.2,41.5
"2014-2016","Williamsbridge (212)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",61,14.9,14.2
"2014-2016","Williamsbridge (212)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",43,10.5,10.1
"2014-2016","Williamsbridge (212)","Diabetes Mellitus (E10-E14)",32,7.8,7.2
"2014-2016","Williamsbridge (212)","Influenza (Flu) and Pneumonia (J09-J18)",26,6.4,5.6
"2014-2016","Williamsbridge (212)","Assault (Homicide: Y87.1, X85-Y09)",25,6.1,6.2
"2014-2016","Williamsbridge (212)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",24,5.9,5.6
"2014-2016","Williamsbridge (212)","Cerebrovascular Disease (Stroke: I60-I69)",20,4.9,4.5
"2014-2016","Williamsbridge (212)","Certain Conditions originating in the Perinatal Period (P00-P96)",19,4.6,4.7
"2014-2016","Williamsbridge (212)","Chronic Lower Respiratory Diseases (J40-J47)",19,4.6,4.2
"2014-2016","Williamsbridge (212)","All Other Causes",202,49.4,46.2
"2014-2016","Williamsburg, Greenpoint (301)","Malignant Neoplasms (Cancer: C00-C97)",183,34.8,44.2
"2014-2016","Williamsburg, Greenpoint (301)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",130,24.7,32.6
"2014-2016","Williamsburg, Greenpoint (301)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",55,10.5,11.1
"2014-2016","Williamsburg, Greenpoint (301)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",27,5.1,6.1
"2014-2016","Williamsburg, Greenpoint (301)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",22,4.2,4.0
"2014-2016","Williamsburg, Greenpoint (301)","Diabetes Mellitus (E10-E14)",20,3.8,4.8
"2014-2016","Williamsburg, Greenpoint (301)","Chronic Liver Disease and Cirrhosis (K70, K73)",18,3.4,3.9
"2014-2016","Williamsburg, Greenpoint (301)","Assault (Homicide: Y87.1, X85-Y09)",17,3.2,3.1
"2014-2016","Williamsburg, Greenpoint (301)","Influenza (Flu) and Pneumonia (J09-J18)",15,2.9,3.7
"2014-2016","Williamsburg, Greenpoint (301)","Cerebrovascular Disease (Stroke: I60-I69)",14,2.7,3.4
"2014-2016","Williamsburg, Greenpoint (301)","All Other Causes",164,31.2,37.3
"2014-2016","Fort Green, Brooklyn Heights (302)","Malignant Neoplasms (Cancer: C00-C97)",117,39.2,42.1
"2014-2016","Fort Green, Brooklyn Heights (302)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",113,37.8,40.5
"2014-2016","Fort Green, Brooklyn Heights (302)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",26,8.7,8.6
"2014-2016","Fort Green, Brooklyn Heights (302)","Diabetes Mellitus (E10-E14)",20,6.7,7.2
"2014-2016","Fort Green, Brooklyn Heights (302)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",17,5.7,5.9
"2014-2016","Fort Green, Brooklyn Heights (302)","Influenza (Flu) and Pneumonia (J09-J18)",13,4.4,4.6
"2014-2016","Fort Green, Brooklyn Heights (302)","Assault (Homicide: Y87.1, X85-Y09)",12,4.0,"."
"2014-2016","Fort Green, Brooklyn Heights (302)","Chronic Lower Respiratory Diseases (J40-J47)",12,4.0,4.5
"2014-2016","Fort Green, Brooklyn Heights (302)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",11,".","."
"2014-2016","Fort Green, Brooklyn Heights (302)","Cerebrovascular Disease (Stroke: I60-I69)",11,".","."
"2014-2016","Fort Green, Brooklyn Heights (302)","All Other Causes",111,37.2,40.0
"2014-2016","Bedford Stuyvesant (303)","Malignant Neoplasms (Cancer: C00-C97)",247,59.7,61.4
"2014-2016","Bedford Stuyvesant (303)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",215,52.0,53.6
"2014-2016","Bedford Stuyvesant (303)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",59,14.3,14.6
"2014-2016","Bedford Stuyvesant (303)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",58,14.0,14.3
"2014-2016","Bedford Stuyvesant (303)","Diabetes Mellitus (E10-E14)",43,10.4,10.6
"2014-2016","Bedford Stuyvesant (303)","Assault (Homicide: Y87.1, X85-Y09)",41,9.9,9.8
"2014-2016","Bedford Stuyvesant (303)","Chronic Lower Respiratory Diseases (J40-J47)",32,7.7,7.9
"2014-2016","Bedford Stuyvesant (303)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",32,7.7,7.8
"2014-2016","Bedford Stuyvesant (303)","Cerebrovascular Disease (Stroke: I60-I69)",31,7.5,7.8
"2014-2016","Bedford Stuyvesant (303)","Chronic Liver Disease and Cirrhosis (K70, K73)",30,7.3,7.4
"2014-2016","Bedford Stuyvesant (303)","All Other Causes",252,61.0,62.3
"2014-2016","Bushwick (304)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",119,38.1,42.8
"2014-2016","Bushwick (304)","Malignant Neoplasms (Cancer: C00-C97)",112,35.9,40.2
"2014-2016","Bushwick (304)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",31,9.9,10.6
"2014-2016","Bushwick (304)","Diabetes Mellitus (E10-E14)",26,8.3,9.4
"2014-2016","Bushwick (304)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",23,7.4,7.0
"2014-2016","Bushwick (304)","Assault (Homicide: Y87.1, X85-Y09)",20,6.4,6.5
"2014-2016","Bushwick (304)","Cerebrovascular Disease (Stroke: I60-I69)",18,5.8,6.4
"2014-2016","Bushwick (304)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",16,5.1,4.8
"2014-2016","Bushwick (304)","Chronic Liver Disease and Cirrhosis (K70, K73)",16,5.1,5.4
"2014-2016","Bushwick (304)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",13,4.2,4.5
"2014-2016","Bushwick (304)","All Other Causes",138,44.2,47.6
"2014-2016","East New York (305)","Malignant Neoplasms (Cancer: C00-C97)",334,68.4,66.5
"2014-2016","East New York (305)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",263,53.9,52.3
"2014-2016","East New York (305)","Diabetes Mellitus (E10-E14)",91,18.6,18.4
"2014-2016","East New York (305)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",68,13.9,13.7
"2014-2016","East New York (305)","Assault (Homicide: Y87.1, X85-Y09)",52,10.7,10.8
"2014-2016","East New York (305)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",49,10.0,9.8
"2014-2016","East New York (305)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",48,9.8,9.9
"2014-2016","East New York (305)","Chronic Lower Respiratory Diseases (J40-J47)",36,7.4,7.2
"2014-2016","East New York (305)","Cerebrovascular Disease (Stroke: I60-I69)",34,7.0,6.7
"2014-2016","East New York (305)","Certain Conditions originating in the Perinatal Period (P00-P96)",29,5.9,5.6
"2014-2016","East New York (305)","All Other Causes",331,67.8,66.8
"2014-2016","Park Slope (306)","Malignant Neoplasms (Cancer: C00-C97)",116,39.1,41.2
"2014-2016","Park Slope (306)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",70,23.6,25.4
"2014-2016","Park Slope (306)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",33,11.1,10.4
"2014-2016","Park Slope (306)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",18,6.1,6.3
"2014-2016","Park Slope (306)","Diabetes Mellitus (E10-E14)",14,4.7,5.1
"2014-2016","Park Slope (306)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",13,4.4,4.1
"2014-2016","Park Slope (306)","Chronic Lower Respiratory Diseases (J40-J47)",12,4.0,4.8
"2014-2016","Park Slope (306)","Cerebrovascular Disease (Stroke: I60-I69)",10,".","."
"2014-2016","Park Slope (306)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",9,".","."
"2014-2016","Park Slope (306)","Chronic Liver Disease and Cirrhosis (K70, K73)",9,".","."
"2014-2016","Park Slope (306)","All Other Causes",83,28.0,31.2
"2014-2016","Sunset Park (307)","Malignant Neoplasms (Cancer: C00-C97)",135,37.1,39.7
"2014-2016","Sunset Park (307)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",78,21.5,23.1
"2014-2016","Sunset Park (307)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",35,9.6,9.5
"2014-2016","Sunset Park (307)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",19,5.2,5.2
"2014-2016","Sunset Park (307)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",19,5.2,5.1
"2014-2016","Sunset Park (307)","Chronic Liver Disease and Cirrhosis (K70, K73)",15,4.1,4.4
"2014-2016","Sunset Park (307)","Diabetes Mellitus (E10-E14)",13,3.6,3.7
"2014-2016","Sunset Park (307)","Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",12,3.3,3.6
"2014-2016","Sunset Park (307)","Chronic Lower Respiratory Diseases (J40-J47)",9,".","."
"2014-2016","Sunset Park (307)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",9,".","."
"2014-2016","Sunset Park (307)","Influenza (Flu) and Pneumonia (J09-J18)",9,".","."
"2014-2016","Sunset Park (307)","Viral Hepatitis (B15-B19)",9,".","."
"2014-2016","Sunset Park (307)","All Other Causes",89,24.5,26.1
"2014-2016","Crown Heights North (308)","Malignant Neoplasms (Cancer: C00-C97)",164,63.1,62.0
"2014-2016","Crown Heights North (308)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",133,51.2,50.3
"2014-2016","Crown Heights North (308)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",31,11.9,11.2
"2014-2016","Crown Heights North (308)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",30,11.5,10.5
"2014-2016","Crown Heights North (308)","Assault (Homicide: Y87.1, X85-Y09)",29,11.2,10.7
"2014-2016","Crown Heights North (308)","Diabetes Mellitus (E10-E14)",20,7.7,7.7
"2014-2016","Crown Heights North (308)","Cerebrovascular Disease (Stroke: I60-I69)",20,7.7,7.6
"2014-2016","Crown Heights North (308)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",18,6.9,6.6
"2014-2016","Crown Heights North (308)","Certain Conditions originating in the Perinatal Period (P00-P96)",12,4.6,5.6
"2014-2016","Crown Heights North (308)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",10,".","."
"2014-2016","Crown Heights North (308)","All Other Causes",127,48.9,48.5
"2014-2016","Crown Heights South (309)","Malignant Neoplasms (Cancer: C00-C97)",157,61.1,54.7
"2014-2016","Crown Heights South (309)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",115,44.8,40.0
"2014-2016","Crown Heights South (309)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",26,10.1,9.3
"2014-2016","Crown Heights South (309)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",18,7.0,6.4
"2014-2016","Crown Heights South (309)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",17,6.6,6.4
"2014-2016","Crown Heights South (309)","Diabetes Mellitus (E10-E14)",14,5.5,4.8
"2014-2016","Crown Heights South (309)","Essential Hypertension and Renal Diseases (I10, I12)",14,5.5,4.9
"2014-2016","Crown Heights South (309)","Chronic Lower Respiratory Diseases (J40-J47)",13,5.1,4.6
"2014-2016","Crown Heights South (309)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",12,4.7,4.4
"2014-2016","Crown Heights South (309)","Assault (Homicide: Y87.1, X85-Y09)",11,".","."
"2014-2016","Crown Heights South (309)","All Other Causes",137,53.4,50.6
"2014-2016","Bay Ridge (310)","Malignant Neoplasms (Cancer: C00-C97)",183,50.2,44.2
"2014-2016","Bay Ridge (310)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",97,26.6,23.3
"2014-2016","Bay Ridge (310)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",48,13.2,12.4
"2014-2016","Bay Ridge (310)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",26,7.1,6.3
"2014-2016","Bay Ridge (310)","Chronic Liver Disease and Cirrhosis (K70, K73)",19,5.2,4.5
"2014-2016","Bay Ridge (310)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",14,3.8,3.6
"2014-2016","Bay Ridge (310)","Chronic Lower Respiratory Diseases (J40-J47)",13,3.6,3.1
"2014-2016","Bay Ridge (310)","Influenza (Flu) and Pneumonia (J09-J18)",13,3.6,3.1
"2014-2016","Bay Ridge (310)","Diabetes Mellitus (E10-E14)",13,3.6,3.1
"2014-2016","Bay Ridge (310)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",11,".","."
"2014-2016","Bay Ridge (310)","All Other Causes",104,28.6,26.3
"2014-2016","Bensonhurst (311)","Malignant Neoplasms (Cancer: C00-C97)",279,53.4,45.6
"2014-2016","Bensonhurst (311)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",156,29.9,25.3
"2014-2016","Bensonhurst (311)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",55,10.5,10.1
"2014-2016","Bensonhurst (311)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",37,7.1,6.3
"2014-2016","Bensonhurst (311)","Cerebrovascular Disease (Stroke: I60-I69)",24,4.6,4.0
"2014-2016","Bensonhurst (311)","Diabetes Mellitus (E10-E14)",22,4.2,3.5
"2014-2016","Bensonhurst (311)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",20,3.8,3.4
"2014-2016","Bensonhurst (311)","Chronic Liver Disease and Cirrhosis (K70, K73)",18,3.4,3.0
"2014-2016","Bensonhurst (311)","Certain Conditions originating in the Perinatal Period (P00-P96)",17,3.3,3.9
"2014-2016","Bensonhurst (311)","Viral Hepatitis (B15-B19)",13,2.5,2.1
"2014-2016","Bensonhurst (311)","All Other Causes",160,30.6,27.7
"2014-2016","Borough Park (312)","Malignant Neoplasms (Cancer: C00-C97)",197,36.1,43.4
"2014-2016","Borough Park (312)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",82,15.0,18.3
"2014-2016","Borough Park (312)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",32,5.9,6.7
"2014-2016","Borough Park (312)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",25,4.6,5.2
"2014-2016","Borough Park (312)","Influenza (Flu) and Pneumonia (J09-J18)",20,3.7,4.5
"2014-2016","Borough Park (312)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",18,3.3,3.9
"2014-2016","Borough Park (312)","Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",16,2.9,2.5
"2014-2016","Borough Park (312)","Diabetes Mellitus (E10-E14)",13,2.4,2.9
"2014-2016","Borough Park (312)","Certain Conditions originating in the Perinatal Period (P00-P96)",13,2.4,2.0
"2014-2016","Borough Park (312)","Mental and Behavioral Disorders due to Use of Alcohol (F10)",10,".","."
"2014-2016","Borough Park (312)","Chronic Liver Disease and Cirrhosis (K70, K73)",10,".","."
"2014-2016","Borough Park (312)","All Other Causes",136,25.0,28.5
"2014-2016","Coney Island (313)","Malignant Neoplasms (Cancer: C00-C97)",156,62.0,48.1
"2014-2016","Coney Island (313)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",140,55.7,43.0
"2014-2016","Coney Island (313)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",48,19.1,18.0
"2014-2016","Coney Island (313)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",24,9.5,8.8
"2014-2016","Coney Island (313)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",22,8.7,8.0
"2014-2016","Coney Island (313)","Chronic Liver Disease and Cirrhosis (K70, K73)",20,8.0,6.5
"2014-2016","Coney Island (313)","Assault (Homicide: Y87.1, X85-Y09)",17,6.8,6.8
"2014-2016","Coney Island (313)","Cerebrovascular Disease (Stroke: I60-I69)",17,6.8,5.8
"2014-2016","Coney Island (313)","Diabetes Mellitus (E10-E14)",15,6.0,4.5
"2014-2016","Coney Island (313)","Influenza (Flu) and Pneumonia (J09-J18)",14,5.6,4.2
"2014-2016","Coney Island (313)","Certain Conditions originating in the Perinatal Period (P00-P96)",14,5.6,6.7
"2014-2016","Coney Island (313)","All Other Causes",151,60.1,49.0
"2014-2016","Flatbush, Midwood (314)","Malignant Neoplasms (Cancer: C00-C97)",203,46.3,43.0
"2014-2016","Flatbush, Midwood (314)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",156,35.6,32.9
"2014-2016","Flatbush, Midwood (314)","Diabetes Mellitus (E10-E14)",35,8.0,7.4
"2014-2016","Flatbush, Midwood (314)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",31,7.1,6.8
"2014-2016","Flatbush, Midwood (314)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",31,7.1,7.0
"2014-2016","Flatbush, Midwood (314)","Certain Conditions originating in the Perinatal Period (P00-P96)",23,5.3,5.5
"2014-2016","Flatbush, Midwood (314)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",23,5.3,5.0
"2014-2016","Flatbush, Midwood (314)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",21,4.8,4.7
"2014-2016","Flatbush, Midwood (314)","Cerebrovascular Disease (Stroke: I60-I69)",20,4.6,4.3
"2014-2016","Flatbush, Midwood (314)","Assault (Homicide: Y87.1, X85-Y09)",20,4.6,4.6
"2014-2016","Flatbush, Midwood (314)","All Other Causes",166,37.9,36.1
"2014-2016","Sheepshead Bay (315)","Malignant Neoplasms (Cancer: C00-C97)",237,54.5,44.8
"2014-2016","Sheepshead Bay (315)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",146,33.5,27.6
"2014-2016","Sheepshead Bay (315)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",53,12.2,11.9
"2014-2016","Sheepshead Bay (315)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",22,5.1,4.8
"2014-2016","Sheepshead Bay (315)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",21,4.8,4.6
"2014-2016","Sheepshead Bay (315)","Diabetes Mellitus (E10-E14)",15,3.4,2.8
"2014-2016","Sheepshead Bay (315)","Cerebrovascular Disease (Stroke: I60-I69)",14,3.2,2.8
"2014-2016","Sheepshead Bay (315)","Chronic Lower Respiratory Diseases (J40-J47)",13,3.0,2.4
"2014-2016","Sheepshead Bay (315)","Chronic Liver Disease and Cirrhosis (K70, K73)",13,3.0,2.5
"2014-2016","Sheepshead Bay (315)","Certain Conditions originating in the Perinatal Period (P00-P96)",9,".","."
"2014-2016","Sheepshead Bay (315)","All Other Causes",122,28.0,25.3
"2014-2016","Brownsville (316)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",180,79.0,79.6
"2014-2016","Brownsville (316)","Malignant Neoplasms (Cancer: C00-C97)",171,75.0,75.5
"2014-2016","Brownsville (316)","Assault (Homicide: Y87.1, X85-Y09)",51,22.4,23.1
"2014-2016","Brownsville (316)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",47,20.6,21.2
"2014-2016","Brownsville (316)","Diabetes Mellitus (E10-E14)",45,19.7,20.0
"2014-2016","Brownsville (316)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",44,19.3,19.9
"2014-2016","Brownsville (316)","Cerebrovascular Disease (Stroke: I60-I69)",22,9.7,9.7
"2014-2016","Brownsville (316)","Chronic Liver Disease and Cirrhosis (K70, K73)",19,8.3,8.4
"2014-2016","Brownsville (316)","Chronic Lower Respiratory Diseases (J40-J47)",18,7.9,8.0
"2014-2016","Brownsville (316)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",17,7.5,7.8
"2014-2016","Brownsville (316)","All Other Causes",204,89.5,90.1
"2014-2016","East Flatbush (317)","Malignant Neoplasms (Cancer: C00-C97)",244,61.2,50.7
"2014-2016","East Flatbush (317)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",200,50.2,40.9
"2014-2016","East Flatbush (317)","Diabetes Mellitus (E10-E14)",49,12.3,10.2
"2014-2016","East Flatbush (317)","Assault (Homicide: Y87.1, X85-Y09)",43,10.8,11.2
"2014-2016","East Flatbush (317)","Human Immunodeficiency Virus Disease (HIV: B20-B24)",41,10.3,8.6
"2014-2016","East Flatbush (317)","Cerebrovascular Disease (Stroke: I60-I69)",33,8.3,7.0
"2014-2016","East Flatbush (317)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",31,7.8,7.2
"2014-2016","East Flatbush (317)","Certain Conditions originating in the Perinatal Period (P00-P96)",24,6.0,6.9
"2014-2016","East Flatbush (317)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",24,6.0,5.5
"2014-2016","East Flatbush (317)","Essential Hypertension and Renal Diseases (I10, I12)",22,5.5,4.6
"2014-2016","East Flatbush (317)","All Other Causes",241,60.5,54.5
"2014-2016","Canarsie (318)","Malignant Neoplasms (Cancer: C00-C97)",312,60.8,50.5
"2014-2016","Canarsie (318)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",235,45.8,37.8
"2014-2016","Canarsie (318)","Diabetes Mellitus (E10-E14)",41,8.0,6.7
"2014-2016","Canarsie (318)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",40,7.8,7.5
"2014-2016","Canarsie (318)","Assault (Homicide: Y87.1, X85-Y09)",35,6.8,7.5
"2014-2016","Canarsie (318)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",33,6.4,5.9
"2014-2016","Canarsie (318)","Cerebrovascular Disease (Stroke: I60-I69)",29,5.7,4.9
"2014-2016","Canarsie (318)","Influenza (Flu) and Pneumonia (J09-J18)",21,4.1,3.5
"2014-2016","Canarsie (318)","Certain Conditions originating in the Perinatal Period (P00-P96)",19,3.7,4.0
"2014-2016","Canarsie (318)","Chronic Lower Respiratory Diseases (J40-J47)",15,2.9,2.5
"2014-2016","Canarsie (318)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",15,2.9,2.6
"2014-2016","Canarsie (318)","Essential Hypertension and Renal Diseases (I10, I12)",15,2.9,2.4
"2014-2016","Canarsie (318)","All Other Causes",200,39.0,35.7
"2014-2016","Astoria, Long Island City (401)","Malignant Neoplasms (Cancer: C00-C97)",199,37.3,36.9
"2014-2016","Astoria, Long Island City (401)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",149,27.9,27.5
"2014-2016","Astoria, Long Island City (401)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",51,9.6,8.8
"2014-2016","Astoria, Long Island City (401)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",31,5.8,5.2
"2014-2016","Astoria, Long Island City (401)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",28,5.2,5.4
"2014-2016","Astoria, Long Island City (401)","Chronic Liver Disease and Cirrhosis (K70, K73)",22,4.1,4.1
"2014-2016","Astoria, Long Island City (401)","Influenza (Flu) and Pneumonia (J09-J18)",18,3.4,3.3
"2014-2016","Astoria, Long Island City (401)","Diabetes Mellitus (E10-E14)",18,3.4,3.3
"2014-2016","Astoria, Long Island City (401)","Chronic Lower Respiratory Diseases (J40-J47)",16,3.0,3.0
"2014-2016","Astoria, Long Island City (401)","Cerebrovascular Disease (Stroke: I60-I69)",16,3.0,2.8
"2014-2016","Astoria, Long Island City (401)","Certain Conditions originating in the Perinatal Period (P00-P96)",16,3.0,4.2
"2014-2016","Astoria, Long Island City (401)","All Other Causes",151,28.3,28.8
"2014-2016","Sunnyside, Woodside (402)","Malignant Neoplasms (Cancer: C00-C97)",136,39.0,35.8
"2014-2016","Sunnyside, Woodside (402)","Diseases of Heart (I00-I09, I11, I13, I20-I51)",79,22.6,20.9
"2014-2016","Sunnyside, Woodside (402)","Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",24,6.9,6.3
"2014-2016","Sunnyside, Woodside (402)","Intentional Self-Harm (Suicide: X60-X84, Y87.0)",13,3.7,3.1
"2014-2016","Sunnyside, Woodside (402)","Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",12,3.4,3.3
"2014-2016","Sunnyside, Woodside (402)","Cerebrovascular Disease (Stroke: I60-I69)",11,".","."
"2014-2016","Sunnyside, Woodside (402)","Chronic Liver Disease and Cirrhosis (K70, K73)",10,".","."
