,X,age_group,arrest_boro,arrest_date,arrest_key,arrest_precinct,jurisdiction_code,ky_cd,latitude,law_cat_cd,law_code,longitude,ofns_desc,pd_cd,pd_desc,perp_race,perp_sex,x_coord_cd,y_coord_cd,year,month,Marijuana,Sale,Intent,School
2554,2554,25-44,S,10/30/16,158042067,120,0,235,40.62612152,M,PL 2211001,-74.07397798,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,963715,167395,2016,10,1,0,0,0
2555,2555,18-24,S,10/30/16,158042066,123,0,235,40.56097967,M,PL 2211001,-74.19530211,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,929984,143714,2016,10,1,0,0,0
2556,2556,25-44,S,10/29/16,158040936,122,0,235,40.56794453,M,PL 2205002,-74.11238314,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",WHITE HISPANIC,M,953027,146211,2016,10,0,0,1,0
2557,2557,65+,S,10/29/16,158022707,120,0,235,40.63881218,M,PL 2205002,-74.08747142,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,M,959974,172022,2016,10,0,0,1,0
2558,2558,45-64,S,10/29/16,158039262,120,0,235,40.63684945,M,PL 2200300,-74.08407479,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,960916,171306,2016,10,0,0,0,0
2559,2559,25-44,S,10/29/16,158040934,122,0,235,40.59575324,M,PL 2200300,-74.07791244,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,962613,156332,2016,10,0,0,0,0
2560,2560,25-44,S,10/29/16,158041926,123,0,235,40.53775647,M,PL 2200300,-74.21780266,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,923711,135268,2016,10,0,0,0,0
2561,2561,45-64,S,10/29/16,158040932,120,0,235,40.64159405,M,PL 2200300,-74.07790111,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,F,962631,173033,2016,10,0,0,0,0
2562,2562,18-24,S,10/29/16,158042065,123,0,235,40.53775647,M,PL 2200300,-74.21780266,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,923711,135268,2016,10,0,0,0,0
2563,2563,18-24,S,10/29/16,158039261,121,0,235,40.614453,M,PL 2214000,-74.16816743,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",WHITE HISPANIC,M,937561,163180,2016,10,1,1,0,0
2564,2564,45-64,S,10/29/16,158040933,122,0,235,40.56794453,M,PL 2200300,-74.11238314,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,953027,146211,2016,10,0,0,0,0
2565,2565,25-44,S,10/29/16,158040128,122,0,235,40.5565887,M,PL 2200300,-74.16509602,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,938374,142097,2016,10,0,0,0,0
2566,2566,18-24,S,10/28/16,158023297,123,0,117,40.52092674,F,PL 2201601,-74.2351132,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",ASIAN/PAC.ISL,M,918883,129149,2016,10,0,0,1,0
2567,2567,25-44,S,10/28/16,158019035,121,0,235,40.58379115,M,PL 2200300,-74.15216661,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,941984,152001,2016,10,0,0,0,0
2568,2568,25-44,S,10/28/16,158019034,121,0,235,40.58379115,M,PL 2200300,-74.15216661,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,941984,152001,2016,10,0,0,0,0
2569,2569,<18,S,10/28/16,158023296,122,0,235,40.54997135,M,PL 2200300,-74.15084096,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,942331,139679,2016,10,0,0,0,0
2570,2570,25-44,S,10/28/16,158022704,121,0,117,40.6403131,F,PL 2202101,-74.13365238,DANGEROUS DRUGS,500,"CONTROLLED SUBSTANCE,POSSESS 1",AMER IND,M,947158,172585,2016,10,0,0,0,0
2571,2571,<18,S,10/28/16,158022708,122,0,235,40.54997135,M,PL 2200300,-74.15084096,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,942331,139679,2016,10,0,0,0,0
2572,2572,18-24,S,10/28/16,158022710,122,0,235,40.54997135,M,PL 2200300,-74.15084096,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,942331,139679,2016,10,0,0,0,0
2573,2573,25-44,S,10/28/16,158021668,123,0,235,40.53516468,M,PL 2214000,-74.20164473,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",WHITE,M,928200,134313,2016,10,1,1,0,0
2574,2574,18-24,S,10/27/16,157988152,121,0,235,40.62322682,M,PL 2205002,-74.14922697,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,F,942825,166367,2016,10,0,0,1,0
2575,2575,<18,S,10/27/16,157993071,121,0,235,40.63217314,M,PL 2200300,-74.14190449,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,944863,169623,2016,10,0,0,0,0
2576,2576,45-64,S,10/27/16,157992764,122,0,117,40.55667321,F,PL 2200602,-74.11626879,DANGEROUS DRUGS,507,"CONTROLLED SUBSTANCE, POSSESSION 5",WHITE,M,951942,142106,2016,10,0,0,0,0
2577,2577,25-44,S,10/27/16,157992767,120,0,235,40.62654368,M,PL 2200300,-74.12012989,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,950904,167563,2016,10,0,0,0,0
2578,2578,25-44,S,10/27/16,157992761,122,0,235,40.59501725,M,PL 2200300,-74.08614297,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,960327,156066,2016,10,0,0,0,0
2579,2579,45-64,S,10/27/16,157988154,121,0,235,40.62322682,M,PL 2200300,-74.14922697,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,942825,166367,2016,10,0,0,0,0
2580,2580,45-64,S,10/27/16,157988153,121,0,235,40.62322682,M,PL 2205002,-74.14922697,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,F,942825,166367,2016,10,0,0,1,0
2581,2581,25-44,S,10/27/16,157986581,121,0,235,40.62322682,M,PL 2205002,-74.14922697,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,M,942825,166367,2016,10,0,0,1,0
2582,2582,25-44,S,10/27/16,157986579,121,0,235,40.62322682,M,PL 2205002,-74.14922697,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,M,942825,166367,2016,10,0,0,1,0
2583,2583,18-24,S,10/27/16,157993073,121,0,235,40.63217314,M,PL 2200300,-74.14190449,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,944863,169623,2016,10,0,0,0,0
2584,2584,45-64,S,10/27/16,157992765,122,0,117,40.59501725,F,PL 2201601,-74.08614297,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,960327,156066,2016,10,0,0,1,0
2585,2585,25-44,S,10/26/16,157921512,121,0,117,40.63898418,F,PL 2201610,-74.17125231,DANGEROUS DRUGS,502,"CONTROLLED SUBSTANCE,POSSESS 3",BLACK,M,936722,172119,2016,10,0,0,0,0
2586,2586,18-24,S,10/26/16,157956875,120,0,235,40.62519578,M,PL 2204500,-74.07920405,DANGEROUS DRUGS,509,POSSESSION HYPODERMIC INSTRUMENT,WHITE HISPANIC,M,962264,167059,2016,10,0,0,0,0
2587,2587,25-44,S,10/26/16,157942042,123,0,235,40.52491179,M,PL 2211002,-74.20063542,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,928472,130577,2016,10,1,0,0,0
2588,2588,45-64,S,10/26/16,157946579,120,0,235,40.63968673,M,PL 2200300,-74.07744128,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,962758,172338,2016,10,0,0,0,0
2589,2589,25-44,S,10/26/16,157952842,123,0,235,40.50883153,M,PL 2200300,-74.23043882,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,920171,124739,2016,10,0,0,0,0
2590,2590,25-44,S,10/26/16,157952841,123,0,235,40.50883153,M,PL 2200300,-74.23043882,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,920171,124739,2016,10,0,0,0,0
2591,2591,25-44,S,10/26/16,157946580,120,0,235,40.63968673,M,PL 2200300,-74.07744128,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,962758,172338,2016,10,0,0,0,0
2592,2592,18-24,S,10/26/16,157942041,120,0,235,40.64475208,M,PL 2211001,-74.08724138,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960040,174186,2016,10,1,0,0,0
2593,2593,25-44,S,10/26/16,157956877,122,0,235,40.56843767,M,PL 2200300,-74.12395229,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,949813,146395,2016,10,0,0,0,0
2594,2594,45-64,S,10/26/16,157952839,123,0,235,40.50883153,M,PL 2200300,-74.23043882,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,920171,124739,2016,10,0,0,0,0
2595,2595,18-24,S,10/26/16,157952836,123,0,235,40.53242983,M,PL 2211001,-74.19748506,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,929354,133314,2016,10,1,0,0,0
2596,2596,18-24,S,10/26/16,157942040,123,0,235,40.52491179,M,PL 2200300,-74.20063542,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,928472,130577,2016,10,0,0,0,0
2597,2597,18-24,S,10/26/16,157952838,123,0,235,40.53242983,M,PL 2211001,-74.19748506,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,929354,133314,2016,10,1,0,0,0
2598,2598,25-44,S,10/26/16,157952837,123,0,235,40.50883153,M,PL 2200300,-74.23043882,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,920171,124739,2016,10,0,0,0,0
2599,2599,18-24,S,10/26/16,157942043,120,0,235,40.64475208,M,PL 2211001,-74.08724138,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,960040,174186,2016,10,1,0,0,0
2600,2600,25-44,S,10/25/16,157915277,123,0,235,40.51158634,M,PL 2205001,-74.24930373,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",WHITE HISPANIC,M,914928,125757,2016,10,0,0,1,0
2601,2601,25-44,S,10/25/16,157919965,123,0,235,40.50323929,M,PL 2200300,-74.23094813,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,920024,122702,2016,10,0,0,0,0
2602,2602,45-64,S,10/25/16,157896788,121,0,235,40.63122789,M,PL 2204500,-74.16528427,DANGEROUS DRUGS,509,POSSESSION HYPODERMIC INSTRUMENT,BLACK,M,938373,169290,2016,10,0,0,0,0
2603,2603,18-24,S,10/25/16,157919964,120,0,235,40.62043896,M,PL 2200300,-74.07095668,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,964552,165324,2016,10,0,0,0,0
2604,2604,45-64,S,10/25/16,157918353,121,0,235,40.60744839,M,PL 2211001,-74.16040304,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,939712,160624,2016,10,1,0,0,0
2605,2605,25-44,S,10/24/16,157872297,122,0,235,40.56382128,M,PL 2200300,-74.10720789,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,954463,144707,2016,10,0,0,0,0
2606,2606,25-44,S,10/24/16,157872296,120,0,235,40.62423677,M,PL 2200300,-74.08075553,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,961833,166710,2016,10,0,0,0,0
2607,2607,18-24,S,10/24/16,157867431,120,0,235,40.64075492,M,PL 2200300,-74.07674709,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,962951,172727,2016,10,0,0,0,0
2608,2608,18-24,S,10/24/16,157872295,120,0,235,40.64475208,M,PL 2211001,-74.08724138,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960040,174186,2016,10,1,0,0,0
2609,2609,<18,S,10/24/16,157867429,120,0,235,40.6120878,M,PL 2211001,-74.08526458,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,F,960577,162285,2016,10,1,0,0,0
2610,2610,<18,S,10/24/16,157867430,120,0,235,40.6120878,M,PL 2211001,-74.08526458,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,960577,162285,2016,10,1,0,0,0
2611,2611,<18,S,10/24/16,157867427,120,0,235,40.60988776,M,PL 2211001,-74.08721023,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",ASIAN/PAC.ISL,M,960036,161484,2016,10,1,0,0,0
2612,2612,25-44,S,10/24/16,157870768,120,0,235,40.63780411,M,PL 2200300,-74.0769851,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,962884,171652,2016,10,0,0,0,0
2613,2613,18-24,S,10/23/16,157836908,120,0,235,40.63925418,M,PL 2200300,-74.10977924,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,953783,172190,2016,10,0,0,0,0
2614,2614,25-44,S,10/23/16,157832316,120,0,235,40.62693962,M,PL 2211001,-74.07790202,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,962626,167694,2016,10,1,0,0,0
2615,2615,18-24,S,10/23/16,157832315,120,0,235,40.62693962,M,PL 2211001,-74.07790202,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,962626,167694,2016,10,1,0,0,0
2616,2616,18-24,S,10/23/16,157845449,120,0,235,40.63812599,M,PL 2211001,-74.08746692,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,959975,171772,2016,10,1,0,0,0
2617,2617,18-24,S,10/23/16,157835858,120,0,235,40.63925418,M,PL 2200300,-74.10977924,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,953783,172190,2016,10,0,0,0,0
2618,2618,18-24,S,10/22/16,157826506,120,0,235,40.6146244,M,PL 2213500,-74.08471673,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",BLACK,M,960730,163209,2016,10,1,1,0,0
2619,2619,18-24,S,10/22/16,157832186,123,0,235,40.55427023,M,PL 2200300,-74.21291562,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,925084,141281,2016,10,0,0,0,0
2620,2620,45-64,S,10/22/16,157830852,120,0,117,40.63878967,F,PL 2203901,-74.08819923,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",WHITE HISPANIC,M,959772,172014,2016,10,0,1,0,0
2621,2621,18-24,S,10/22/16,157830269,120,0,235,40.63751722,M,PL 2211001,-74.11760587,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,951610,171560,2016,10,1,0,0,0
2622,2622,45-64,S,10/22/16,157831407,120,0,117,40.63878967,F,PL 2203901,-74.08819923,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",WHITE,F,959772,172014,2016,10,0,1,0,0
2623,2623,18-24,S,10/22/16,157830853,120,0,235,40.64005048,M,PL 2200300,-74.1004266,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,956379,172477,2016,10,0,0,0,0
2624,2624,45-64,S,10/21/16,157808706,121,0,117,40.56894963,F,PL 2201601,-74.15034751,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,942480,146593,2016,10,0,0,1,0
2625,2625,25-44,S,10/21/16,157808707,121,0,117,40.56894963,F,PL 2201601,-74.15034751,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",WHITE,M,942480,146593,2016,10,0,0,1,0
2626,2626,25-44,S,10/21/16,157794441,120,0,117,40.62303458,F,PL 2203901,-74.08454009,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",BLACK,M,960782,166273,2016,10,0,1,0,0
2627,2627,45-64,S,10/21/16,157799812,122,0,117,40.57468742,F,PL 2200601,-74.08488926,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,960668,148659,2016,10,0,0,1,0
2628,2628,18-24,S,10/21/16,157808704,121,0,235,40.61275524,M,PL 2200300,-74.16153954,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE HISPANIC,M,939400,162558,2016,10,0,0,0,0
2629,2629,45-64,S,10/21/16,157810032,120,0,235,40.62043896,M,PL 2200300,-74.07095668,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,964552,165324,2016,10,0,0,0,0
2630,2630,25-44,S,10/21/16,157794186,120,0,117,40.62303458,F,PL 2201601,-74.08454009,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,960782,166273,2016,10,0,0,1,0
2631,2631,25-44,S,10/21/16,157800976,120,0,235,40.63990481,M,PL 2204500,-74.08720622,DANGEROUS DRUGS,509,POSSESSION HYPODERMIC INSTRUMENT,WHITE,M,960048,172420,2016,10,0,0,0,0
2632,2632,45-64,S,10/21/16,157799075,122,0,117,40.57468742,F,PL 2200601,-74.08488926,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,960668,148659,2016,10,0,0,1,0
2633,2633,25-44,S,10/20/16,157777686,120,0,235,40.61552642,M,PL 2211500,-74.0860902,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960349,163538,2016,10,1,0,0,0
2634,2634,25-44,S,10/20/16,157785343,121,0,235,40.62543085,M,PL 2200300,-74.15135373,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",BLACK,M,942236,167171,2016,10,0,0,0,0
2635,2635,18-24,S,10/20/16,157762927,120,0,117,40.64075492,F,PL 2201601,-74.07674709,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,962951,172727,2016,10,0,0,1,0
2636,2636,18-24,S,10/20/16,157767038,120,0,235,40.60948205,M,PL 2211001,-74.086529,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,F,960225,161336,2016,10,1,0,0,0
2637,2637,25-44,S,10/20/16,157785158,120,0,235,40.61052878,M,PL 2204500,-74.0732872,DANGEROUS DRUGS,509,POSSESSION HYPODERMIC INSTRUMENT,WHITE,M,963902,161714,2016,10,0,0,0,0
2638,2638,45-64,S,10/19/16,157748860,123,0,117,40.52555378,F,PL 2200601,-74.20546099,DANGEROUS DRUGS,510,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",WHITE,M,927131,130814,2016,10,0,0,1,0
2639,2639,18-24,S,10/19/16,157732861,120,0,235,40.6120878,M,PL 2211001,-74.08526458,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960577,162285,2016,10,1,0,0,0
2640,2640,45-64,S,10/19/16,157721231,122,0,235,40.5945994,M,PL 2205001,-74.07940541,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,M,962198,155912,2016,10,0,0,1,0
2641,2641,25-44,S,10/19/16,157746078,120,0,117,40.63851626,F,PL 2200906,-74.11767249,DANGEROUS DRUGS,505,"CONTROLLED SUBSTANCE, POSSESSION 4",BLACK,M,951592,171924,2016,10,0,0,0,0
2642,2642,18-24,S,10/19/16,157748526,123,0,235,40.51203825,M,PL 2211001,-74.24975495,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,914803,125922,2016,10,1,0,0,0
2643,2643,18-24,S,10/19/16,157748528,120,0,235,40.63750259,M,PL 2200300,-74.08423775,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,960871,171544,2016,10,0,0,0,0
2644,2644,25-44,S,10/19/16,157743340,120,0,235,40.63935117,M,PL 2205003,-74.08613535,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK,M,960345,172218,2016,10,0,0,1,0
2645,2645,<18,S,10/19/16,157748524,123,0,235,40.51203825,M,PL 2211001,-74.24975495,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,914803,125922,2016,10,1,0,0,0
2646,2646,18-24,S,10/19/16,157748683,123,0,235,40.51203825,M,PL 2211001,-74.24975495,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,914803,125922,2016,10,1,0,0,0
2647,2647,25-44,S,10/19/16,157740694,120,0,117,40.63935117,F,PL 2212500,-74.08613535,DANGEROUS DRUGS,568,"MARIJUANA, POSSESSION 1, 2 & 3",BLACK,M,960345,172218,2016,10,1,0,0,0
2648,2648,<18,S,10/18/16,157716012,120,0,235,40.64257326,M,PL 2211001,-74.08652507,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960238,173392,2016,10,1,0,0,0
2649,2649,18-24,S,10/18/16,157716015,123,0,235,40.56097967,M,PL 2200300,-74.19530211,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,929984,143714,2016,10,0,0,0,0
2650,2650,25-44,S,10/18/16,157716020,120,0,235,40.62693962,M,PL 2200300,-74.07790202,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,962626,167694,2016,10,0,0,0,0
2651,2651,18-24,S,10/18/16,157716018,123,0,235,40.56097967,M,PL 2200300,-74.19530211,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,929984,143714,2016,10,0,0,0,0
2652,2652,25-44,S,10/18/16,157716022,120,0,235,40.63681897,M,PL 2200300,-74.11865313,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,951319,171306,2016,10,0,0,0,0
2653,2653,18-24,S,10/18/16,157716017,123,0,235,40.54368004,M,PL 2211001,-74.20880172,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,926218,137420,2016,10,1,0,0,0
2654,2654,25-44,S,10/18/16,157708514,121,0,235,40.57261062,M,PL 2205003,-74.16667984,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",UNKNOWN,M,937945,147935,2016,10,0,0,1,0
2655,2655,18-24,S,10/18/16,157716021,120,0,235,40.64343963,M,PL 2211002,-74.08414435,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",BLACK,M,960899,173707,2016,10,1,0,0,0
2656,2656,18-24,S,10/17/16,157672863,123,0,235,40.5275951,M,PL 2211002,-74.19165777,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,930970,131549,2016,10,1,0,0,0
2657,2657,18-24,S,10/15/16,157632789,123,0,235,40.56097967,M,PL 2200300,-74.19530211,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,929984,143714,2016,10,0,0,0,0
2658,2658,18-24,S,10/15/16,157624362,120,0,235,40.63162888,M,PL 2211001,-74.07616736,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,963109,169402,2016,10,1,0,0,0
2659,2659,25-44,S,10/15/16,157631053,120,0,235,40.626351,M,PL 2200300,-74.13069201,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,947972,167497,2016,10,0,0,0,0
2660,2660,18-24,S,10/15/16,157613489,123,0,235,40.51158634,M,PL 2211001,-74.24930373,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE HISPANIC,M,914928,125757,2016,10,1,0,0,0
2661,2661,25-44,S,10/15/16,157630188,121,0,235,40.58979048,M,PL 2200300,-74.16660751,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,937977,154194,2016,10,0,0,0,0
2662,2662,18-24,S,10/15/16,157630187,123,0,235,40.5554083,M,PL 2214000,-74.19655975,DANGEROUS DRUGS,569,"MARIJUANA, SALE 4 & 5",WHITE,M,929630,141685,2016,10,1,1,0,0
2663,2663,25-44,S,10/15/16,157631052,120,0,235,40.626351,M,PL 2200300,-74.13069201,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,947972,167497,2016,10,0,0,0,0
2664,2664,18-24,S,10/15/16,157631939,123,0,235,40.56097967,M,PL 2200300,-74.19530211,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,M,929984,143714,2016,10,0,0,0,0
2665,2665,25-44,S,10/15/16,157630189,121,0,235,40.58979048,M,PL 2200300,-74.16660751,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSION 7",WHITE,F,937977,154194,2016,10,0,0,0,0
2666,2666,25-44,S,10/15/16,157625568,120,0,235,40.63574629,M,PL 2211001,-74.08373472,DANGEROUS DRUGS,567,"MARIJUANA, POSSESSION 4 & 5",WHITE,M,961010,170904,2016,10,1,0,0,0
2667,2667,18-24,S,10/14/16,157593130,120,0,117,40.61695378,F,PL 2201601,-74.08224154,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,961418,164057,2016,10,0,0,1,0
2668,2668,18-24,S,10/14/16,157593129,120,0,235,40.61695378,M,PL 2205002,-74.08224154,DANGEROUS DRUGS,508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",BLACK HISPANIC,F,961418,164057,2016,10,0,0,1,0
2669,2669,18-24,S,10/14/16,157593128,120,0,117,40.61695378,F,PL 2203901,-74.08224154,DANGEROUS DRUGS,515,"CONTROLLED SUBSTANCE,SALE 3",BLACK HISPANIC,F,961418,164057,2016,10,0,1,0,0
2670,2670,25-44,S,10/14/16,157583995,121,0,117,40.63227161,F,PL 2201606,-74.13767141,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",BLACK,M,946038,169657,2016,10,0,0,1,0
